商品编号	商品名称	品牌编号	品牌英文名称	品牌中文名称	商品性别	商品商城分类编号	商品商城分类名称
30014749	女士紫色羊皮毛一体低筒雪地靴	B0675	JUMBOUGG		0	A01B03C50D01	雪地靴
30014748	女士深蓝色羊皮毛一体低筒雪地靴	B0675	JUMBOUGG		0	A01B03C50D01	雪地靴
30014747	女士巧克力色羊皮毛一体低筒雪地靴	B0675	JUMBOUGG		0	A01B03C50D01	雪地靴
30014746	女士栗色羊皮毛一体低筒雪地靴	B0675	JUMBOUGG		0	A01B03C50D01	雪地靴
30014745	女士黑色羊皮毛一体低筒雪地靴	B0675	JUMBOUGG		0	A01B03C50D01	雪地靴
30014744	女士紫色羊皮毛一体低筒雪地靴	B0675	JUMBOUGG		0	A01B03C50D01	雪地靴
30014743	女士紫色羊皮毛一体休闲雪地靴	B0675	JUMBOUGG		0	A01B03C50D01	雪地靴
30014742	女士深蓝色羊皮毛一体休闲雪地靴	B0675	JUMBOUGG		0	A01B03C50D01	雪地靴
30014741	女士大红色皮毛一体保暖家居鞋	B0675	JUMBOUGG		0	A01B03C50D01	雪地靴
30014740	女士栗色皮毛一体英伦马丁靴	B0675	JUMBOUGG		0	A01B03C51D01	及踝靴
30014739	女士黑色皮毛一体英伦马丁靴	B0675	JUMBOUGG		0	A01B03C51D01	及踝靴
30014738	女士浅蓝色羊皮毛一体爱心豆豆鞋	B0675	JUMBOUGG		0	A01B03C34D05	牛津鞋
30014737	女士玫红色羊皮毛一体爱心豆豆鞋	B0675	JUMBOUGG		0	A01B03C34D05	牛津鞋
30014736	女士玫红色羊皮毛一体经典豆豆鞋	B0675	JUMBOUGG		0	A01B03C34D05	牛津鞋
30014735	男士巧克力色羊皮毛一体男士豆豆鞋	B0675	JUMBOUGG		1	A01B03C34D05	牛津鞋
30014734	女士深蓝色皮毛一体爱心豆豆鞋	B0675	JUMBOUGG		0	A01B03C34D05	牛津鞋
30014733	女士黑色皮毛一体爱心豆豆鞋	B0675	JUMBOUGG		0	A01B03C34D05	牛津鞋
30014732	女士大红羊皮毛一体爱心豆豆鞋	B0675	JUMBOUGG		0	A01B03C34D05	牛津鞋
30014731	女士紫色羊皮毛一体爱心豆豆鞋	B0675	JUMBOUGG		0	A01B03C34D05	牛津鞋
30014730	女士紫色羊皮毛一体经典豆豆鞋	B0675	JUMBOUGG		0	A01B03C34D05	牛津鞋
30014729	女士灰色羊皮毛一体经典豆豆鞋	B0675	JUMBOUGG		0	A01B03C34D05	牛津鞋
30014728	女士栗色羊皮毛一体经典豆豆鞋	B0675	JUMBOUGG		0	A01B03C34D05	牛津鞋
30014727	女士大红羊皮毛一体经典豆豆鞋	B0675	JUMBOUGG		0	A01B03C34D05	牛津鞋
30014726	女士灰色羊皮毛一体翻毛豆豆鞋	B0675	JUMBOUGG		0	A01B03C34D05	牛津鞋
30014725	女士大红羊皮毛一体翻毛豆豆鞋	B0675	JUMBOUGG		0	A01B03C34D05	牛津鞋
30014724	女士深蓝色羊皮毛一体翻毛豆豆鞋	B0675	JUMBOUGG		0	A01B03C34D05	牛津鞋
30014723	帽 子	B0482	ARMANI COLLEZIONI	阿玛尼·卡尔兹	1	A02B04C21D03	帽子
30014722	女士跑步鞋	B0581	ASH	艾熙	0	A01B03C56D01	跑步鞋
30014721	男士长袖上衣	B0373	ARMANI JEANS		1	A02B02C52D01	长袖衬衫
30014720	男士短袖POLO衫	B1082	BOSS	波士	1	A02B02C50D01	POLO衫
30014719	男士长袖衬衫	B1082	BOSS	波士	1	A02B02C52D01	长袖衬衫
30014718	男士针扣式腰带	B0003	GUCCI	古驰	1	A02B04C21D01	腰带
30014717	围 巾	B0003	GUCCI	古驰	1	A02B04C21D02	围巾
30014716	围 巾	B0003	GUCCI	古驰	1	A02B04C21D02	围巾
30014715	男士休闲运动鞋	B0753	VERSACE COLLECTION		1	A02B03C17D01	休闲运动鞋
30014714	男士休闲运动鞋	B0753	VERSACE COLLECTION		1	A02B03C17D01	休闲运动鞋
30014713	男士系带休闲运动鞋	B0482	ARMANI COLLEZIONI	阿玛尼·卡尔兹	1	A02B03C17D01	休闲运动鞋
30014712	男士豆豆鞋	B0001	EMPORIO ARMANI	安普里奥·阿玛尼	1	A02B03C29D01	豆豆鞋
30014711	男士便鞋	B0001	EMPORIO ARMANI	安普里奥·阿玛尼	1	A02B03C28D01	休闲皮鞋
30014710	男士休闲运动鞋	B0001	EMPORIO ARMANI	安普里奥·阿玛尼	1	A02B03C17D01	休闲运动鞋
